Airport Name,Weather Condition,Wind Condition,Visibility Condition,Delay Status
['PHX - Phoenix Sky Harbor International Airport Current Conditions'],Broken clouds57°F(14°C,)Wind--,Visibility10 ,['VERY LOW']
['BRU - Brussels Airport Current Conditions'],Few clouds37°F(3°C,)Wind2,Visibility6 ,['VERY LOW and decreasing']
['MCO - Orlando International Airport Current Conditions'],Few clouds51°F(11°C,)Wind8,NNWVisibility10,['VERY LOW and decreasing']
['EWR - Newark Liberty International Airport Current Conditions'],Few clouds34°F(1°C,)Wind8,WVisibility10,['VERY LOW']
"['CGK - Jakarta, Soekarno-Hatta International Airport Current Conditions']",Broken clouds84°F(29°C,)Wind5,Visibility4 ,['VERY LOW']
"['BOM - Mumbai, Chhatrapati Shivaji Maharaj International Airport Current Conditions']",Few clouds82°F(28°C,)Wind6,NWVisibility2,['VERY LOW and decreasing']
"['BOS - Boston, Logan International Airport Current Conditions']",Few clouds36°F(2°C,)Wind11,WVisibility10,['VERY LOW and decreasing']
['GRU - Sao Paulo-Guarulhos International Airport Current Conditions'],Broken clouds72°F(22°C,)Wind7,ENEVisibility5,['VERY LOW and decreasing']
['LGW - London Gatwick Airport Current Conditions'],Few clouds45°F(7°C,)Wind6,NWVisibility6,['VERY LOW and decreasing']
['FLL - Fort Lauderdale-Hollywood International Airport Current Conditions'],Few clouds60°F(16°C,)Wind5,NWVisibility10,['VERY LOW and decreasing']
['AYT - Antalya Airport Current Conditions'],59°F(15°C),Wind5 ,Visibility6 ,['LOW']
"['SAW - Istanbul, Sabiha Gokcen International Airport Current Conditions']",Scattered clouds52°F(11°C,)Wind13,ESEVisibility6,['VERY LOW']
['CUN - Cancun International Airport Current Conditions'],Scattered clouds75°F(24°C,)Wind6,NEVisibility7,['VERY LOW']
['CPT - Cape Town International Airport Current Conditions'],--°F(--°C),Wind-- ,-- miles,['VERY LOW and decreasing']
"['JED - Jeddah, King Abdulaziz International Airport Current Conditions']",90°F(32°C),Wind12 ,Visibility6 ,['VERY LOW']
"['RUH - Riyadh, King Khalid International Airport Current Conditions']",79°F(26°C),Wind8 ,Visibility6 ,['VERY LOW']
['DUB - Dublin Airport Current Conditions'],Few clouds41°F(5°C,)Wind7,WVisibility6,['VERY LOW']
['YYC - Calgary International Airport Current Conditions'],Sky clear32°F(0°C,)Wind4,Visibility15 ,['VERY LOW']
['AKL - Auckland Airport Current Conditions'],Overcast61°F(16°C,)Wind10,WSWVisibility6,['VERY LOW']
['LIS - Lisbon Portela Airport Current Conditions'],Scattered clouds64°F(18°C,)Wind13,SSWVisibility6,['VERY LOW and decreasing']
['HEL - Helsinki-Vantaa Airport Current Conditions'],Broken clouds28°F(-2°C,)Wind13,NEVisibility6,['LOW and increasing']
['MXP - Milano Malpensa Airport Current Conditions'],48°F(9°C),Wind6 ,Visibility6 ,['VERY LOW and decreasing']
"['JNB - Johannesburg, O.R. Tambo International Airport Current Conditions']",--°F(--°C),Wind-- ,-- miles,['VERY LOW and decreasing']
['MAD - Adolfo Suarez Madrid-Barajas Airport Current Conditions'],Overcast52°F(11°C,)Wind4,SVisibility6,['VERY LOW and decreasing']
"['MEX - Mexico City, Benito Juarez International Airport Current Conditions']",Scattered clouds55°F(13°C,)Wind5,ENEVisibility6,['VERY LOW and decreasing']
"['NRT - Tokyo, Narita International Airport Current Conditions']",Few clouds52°F(11°C,)Wind4,WVisibility6,['VERY LOW']
