Airport Name,Weather Condition,Wind Condition,Visibility Condition,Delay Status
['LGW - London Gatwick Airport Current Conditions'],Few clouds43°F(6°C,)Wind1,Visibility6 ,['VERY LOW and increasing']
['FLL - Fort Lauderdale-Hollywood International Airport Current Conditions'],Broken clouds58°F(14°C,)Wind8,NNWVisibility10,['VERY LOW']
['AYT - Antalya Airport Current Conditions'],Scattered clouds55°F(13°C,)Wind10,ENEVisibility2,['VERY LOW and decreasing']
"['SAW - Istanbul, Sabiha Gokcen International Airport Current Conditions']",Few clouds55°F(13°C,)Wind8,ENEVisibility2,['VERY LOW and decreasing']
['CUN - Cancun International Airport Current Conditions'],Few clouds75°F(24°C,)Wind6,ENEVisibility7,['VERY LOW']
['CPT - Cape Town International Airport Current Conditions'],75°F(24°C),Wind20 ,Visibility6 ,['VERY LOW']
"['JED - Jeddah, King Abdulaziz International Airport Current Conditions']",90°F(32°C),Wind6 ,Visibility6 ,['VERY LOW and decreasing']
"['RUH - Riyadh, King Khalid International Airport Current Conditions']",73°F(23°C),Wind5 ,Visibility6 ,['VERY LOW']
['DUB - Dublin Airport Current Conditions'],Few clouds34°F(1°C,)Wind3,Visibility6 ,['VERY LOW and decreasing']
['YYC - Calgary International Airport Current Conditions'],Few clouds28°F(-2°C,)Wind3,Visibility15 ,['VERY LOW']
['AKL - Auckland Airport Current Conditions'],Few clouds59°F(15°C,)Wind8,WSWVisibility6,['VERY LOW']
['LIS - Lisbon Portela Airport Current Conditions'],Scattered clouds64°F(18°C,)Wind9,WSWVisibility6,['VERY LOW and decreasing']
['HEL - Helsinki-Vantaa Airport Current Conditions'],Few clouds28°F(-2°C,)Wind4,ENEVisibility6,['LOW and decreasing']
['MXP - Milano Malpensa Airport Current Conditions'],52°F(11°C),Wind4 ,Visibility6 ,['VERY LOW and decreasing']
"['JNB - Johannesburg, O.R. Tambo International Airport Current Conditions']",77°F(25°C),Wind14 ,Visibility6 ,['VERY LOW']
['MAD - Adolfo Suarez Madrid-Barajas Airport Current Conditions'],Few clouds57°F(14°C,)Wind12,SWVisibility6,['VERY LOW and decreasing']
"['MEX - Mexico City, Benito Juarez International Airport Current Conditions']",Scattered clouds55°F(13°C,)Wind4,NWVisibility12,['VERY LOW']
"['NRT - Tokyo, Narita International Airport Current Conditions']",Few clouds48°F(9°C,)Wind4,WSWVisibility6,['VERY LOW and decreasing']
